Country,Happiness Index,anger_no,anger_yes,enjoyment_no,enjoyment_yes,learned_no,learned_yes,pain_no,pain_yes,respect_no,respect_yes,sadness_no,sadness_yes,smiled_no,smiled_yes,stress_no,stress_yes,well-rested_no,well-rested_yes,worry_no,worry_yes,PERCENTAGE_Safety,SCORE_law_order
Iceland,7.515,91,9,13,87,32,68,60,40,5,95,84,16,18,82,61,39,45,55,70,30,87.0,91.0
India,4.389,69,31,22,77,46,52,61,39,16,83,61,38,22,77,74,26,30,70,53,47,70.0,83.0
Indonesia,5.617,80,20,15,85,31,69,78,21,6,93,73,27,10,90,85,15,17,83,61,39,83.0,89.0
Iran,5.093,65,35,40,59,63,36,67,33,8,92,63,37,36,63,52,48,32,68,44,56,73.0,81.0
Iraq,4.976,53,47,37,63,53,47,43,57,10,90,61,39,34,66,50,50,41,59,45,55,75.0,84.0
Ireland,6.889,81,19,15,85,38,62,74,26,8,91,78,22,24,75,60,40,25,75,68,32,78.0,86.0
Israel,7.234,62,36,45,54,50,48,79,20,5,94,48,51,57,41,36,62,40,59,33,67,68.0,84.0
Italy,6.415,88,12,32,68,50,50,66,34,7,93,73,27,27,73,60,40,36,64,52,48,64.0,81.0
Japan,6.147,87,13,35,64,46,54,80,20,34,62,87,12,28,71,62,38,21,79,72,28,77.0,86.0
Jordan,4.31,58,42,43,56,63,37,46,54,12,88,61,39,38,62,47,53,47,53,48,52,76.0,87.0
Kazakhstan,6.378,89,9,20,75,53,43,77,21,5,89,86,12,33,60,85,14,27,72,87,12,67.0,80.0
Kenya,4.51,82,18,26,73,27,73,69,31,17,82,77,23,20,80,67,33,31,69,68,32,48.0,63.0
Kosovo,6.659,86,13,15,83,62,35,71,28,5,94,92,7,16,81,71,28,34,65,77,22,87.0,91.0
Kuwait,6.629,83,16,24,76,37,62,74,26,5,95,86,14,20,80,65,35,15,85,68,32,99.0,98.0
Kyrgyzstan,5.858,84,16,17,81,61,38,82,17,7,91,88,11,17,81,92,8,21,78,76,23,72.0,82.0
Lao Pdr,5.301,69,31,20,79,62,36,53,47,34,62,69,30,12,87,71,27,31,69,60,40,55.0,77.0
Latvia,6.207,85,15,23,75,41,59,73,27,6,90,75,24,33,62,66,34,34,63,62,37,75.0,82.0
Lebanon,3.188,65,35,60,40,72,28,57,43,9,91,68,32,55,44,42,58,48,51,52,48,48.0,73.0
Liberia,4.277,74,26,59,41,33,67,46,54,20,80,54,46,25,75,48,52,40,60,44,56,30.0,50.0
Libya,5.82,60,40,40,60,50,50,58,42,17,83,69,31,35,64,58,42,35,65,59,41,67.0,76.0
Lithuania,6.829,85,13,43,51,58,38,73,26,19,67,79,18,45,49,76,22,32,64,69,28,72.0,86.0
Luxembourg,7.122,86,13,17,82,35,65,71,28,6,94,86,14,23,77,58,42,31,69,69,30,87.0,91.0
Madagascar,4.157,69,30,34,66,33,67,53,47,16,83,59,41,18,82,50,50,32,68,54,45,49.0,68.0
Malawi,3.26,83,17,56,44,50,50,57,43,30,70,60,40,37,62,70,30,32,68,56,44,40.0,63.0
Malaysia,5.955,82,18,11,88,46,53,80,20,4,95,82,18,14,85,82,18,10,90,78,22,69.0,87.0
Mali,4.345,78,22,23,77,58,41,67,33,12,88,70,30,20,80,74,26,29,71,55,45,68.0,77.0
Malta,6.316,78,22,40,60,43,57,64,36,8,91,76,24,23,77,45,55,27,73,37,63,73.0,84.0
Mauritania,4.542,75,25,30,70,37,63,48,52,16,84,69,31,21,79,63,37,31,69,56,43,56.0,65.0
Mauritius,5.832,92,8,33,65,47,52,67,33,5,93,82,17,21,77,75,25,36,63,77,23,65.0,80.0
Mexico,6.979,91,8,14,86,31,69,70,30,3,96,77,23,12,88,61,39,18,82,62,38,45.0,66.0
Mongolia,5.833,87,13,29,70,73,27,79,21,15,83,86,14,34,64,86,14,15,85,68,32,51.0,71.0
Montenegro,5.877,75,24,45,54,61,38,64,36,9,90,78,22,48,51,75,24,45,54,51,49,88.0,88.0
Morocco,4.622,62,38,49,48,55,44,54,45,9,89,64,36,30,69,50,49,37,62,50,50,68.0,78.0
Mozambique,5.19,83,17,45,53,37,62,64,35,13,86,67,32,30,69,70,30,29,70,48,51,51.0,71.0
Myanmar,4.321,71,29,28,71,57,42,55,45,30,68,69,31,23,76,55,45,33,66,53,47,42.0,64.0
Namibia,4.911,82,18,52,48,40,60,71,28,15,85,82,18,17,83,74,26,22,78,73,27,37.0,64.0
