Country,Happiness Index,Unemployment rate (%),GDP per hour worked ($),Non-fatal occupational injuries per 100'000 workers,Occupational fatalities per 100'000 workers,Inspectors per 10'000 employed persons,min. monthly wage (PPP $),Extremely poor (%),Moderately poor (%),Not extremely or moderately poor (%),Average hours per week per employed person,Share of employed working 49 or more hours per week (%),Employment to Population ratio %
French Guiana,,23.2,,,,,,,,,,,
French Polynesia,,,55.7,,,,,,,,,,45.7
Gabon,5.12,,34.9,,,,520.0,2.0,4.0,94.0,,,40.8
Gambia,4.423,6.5,6.0,,,,68.0,12.0,25.0,63.0,41.6,28.0,44.4
Georgia,5.4,11.7,29.3,26.0,2.7,0.3,19.0,2.0,6.0,93.0,40.5,,55.6
Germany,6.753,3.1,80.5,1496.0,0.7,1.4,2771.0,,,,34.2,,58.5
Ghana,4.34,2.9,10.8,,,,102.0,19.0,19.0,62.0,38.5,24.0,60.9
Greece,5.776,11.0,49.5,117.0,0.6,,1595.0,,,,39.7,13.0,46.5
Greenland,,9.1,,,,,,,,,,,
Grenada,,6.3,,,,,692.0,,,,40.2,13.0,
Guadeloupe,,23.8,,,,,,,,,,,
Guam,,5.4,70.0,,,,,,,,,,58.9
Guatemala,6.362,2.3,14.7,28.0,0.1,0.2,1679.0,2.0,7.0,91.0,,,58.8
Guernsey,,1.2,,,,,,,,,,,
Guinea,4.929,5.0,6.8,,,,154.0,13.0,26.0,61.0,,,49.1
Guinea-Bissau,,2.7,3.1,,,,84.0,22.0,32.0,47.0,,,61.0
Guyana,,13.2,113.9,,,,625.0,1.0,0.0,99.0,44.7,26.0,44.2
Haiti,,,3.4,,,,171.0,31.0,28.0,41.0,42.0,25.0,55.4
Honduras,5.964,6.1,8.1,,,,929.0,8.0,11.0,80.0,43.6,29.0,53.7
Hong Kong Sar Of China,5.491,2.9,63.3,1188.0,6.8,,1188.0,0.0,0.0,100.0,43.0,30.0,54.9
Hungary,5.915,4.1,46.7,452.0,1.5,0.6,1196.0,,,,38.5,3.0,57.9
Iceland,7.515,3.5,67.4,0.0,0.0,,2579.0,,,,36.3,12.0,72.4
India,4.389,4.2,10.7,,,,234.0,9.0,25.0,67.0,46.7,51.0,53.2
Indonesia,5.617,3.3,15.7,,,,953.0,2.0,14.0,84.0,40.0,22.0,64.7
Iran,5.093,8.1,26.2,,,,599.0,0.0,1.0,99.0,44.3,32.0,36.3
Iraq,4.976,16.2,36.1,,,,736.0,0.0,1.0,99.0,31.7,5.0,34.8
Ireland,6.889,4.2,139.1,688.0,1.4,0.3,2159.0,,,,35.6,9.0,62.4
Isle Of Man,,2.7,,,,,,,,,35.0,,
Israel,7.234,3.4,60.8,1062.0,1.1,0.5,1505.0,,,,38.5,14.0,63.2
Italy,6.415,7.6,74.4,1209.0,2.7,,,,,,36.3,9.0,46.1
Jamaica,5.87,3.0,8.9,,,,684.0,0.0,1.0,99.0,42.7,21.0,64.8
Japan,6.147,2.5,53.7,266.0,1.5,0.5,1763.0,,,,36.6,,61.8
Jersey,,4.0,,,,,,,,,40.0,,
Jordan,4.31,16.6,17.9,,,,810.0,0.0,1.0,100.0,47.0,34.0,31.5
Kazakhstan,6.378,4.9,39.3,42.0,4.3,,419.0,0.0,0.0,100.0,38.0,2.0,66.8
Kenya,4.51,5.7,7.4,,,,362.0,25.0,35.0,40.0,45.6,26.0,62.9
Kiribati,,11.0,,,,,288.0,,,,27.3,10.0,
Kosovo,6.659,10.5,,,,,,,,,43.2,16.0,
Kuwait,6.629,2.2,31.4,,,,409.0,0.0,0.0,100.0,,,72.1
Kyrgyzstan,5.858,4.8,8.8,22.0,4.1,,86.0,0.0,9.0,91.0,38.0,9.0,63.2
Lao Pdr,5.301,1.2,8.9,,,,291.0,6.0,20.0,74.0,41.5,25.0,65.3
Latvia,6.207,6.5,45.7,301.0,5.1,1.3,1135.0,,,,38.9,2.0,56.5
Lebanon,3.188,11.3,15.9,,,,242.0,0.0,0.0,100.0,47.6,38.0,40.5
Lesotho,3.757,16.9,3.2,,,,307.0,25.0,23.0,52.0,50.4,36.0,48.3
Liberia,4.277,5.9,1.5,,,,189.0,28.0,31.0,41.0,47.7,27.0,74.6
Libya,5.82,,29.8,,,,549.0,7.0,6.0,87.0,,,39.5
Lithuania,6.829,6.8,54.7,444.0,3.0,1.0,1656.0,,,,38.6,2.0,58.0
