Country,anger_no,anger_yes,enjoyment_no,enjoyment_yes,learned_no,learned_yes,pain_no,pain_yes,respect_no,respect_yes,sadness_no,sadness_yes,smiled_no,smiled_yes,stress_no,stress_yes,well-rested_no,well-rested_yes,worry_no,worry_yes
Kyrgyzstan,84,16,17,81,61,38,82,17,7,91,88,11,17,81,92,8,21,78,76,23
Lao People'S Democratic Republic,69,31,20,79,62,36,53,47,34,62,69,30,12,87,71,27,31,69,60,40
Latvia,85,15,23,75,41,59,73,27,6,90,75,24,33,62,66,34,34,63,62,37
Lebanon,65,35,60,40,72,28,57,43,9,91,68,32,55,44,42,58,48,51,52,48
Liberia,74,26,59,41,33,67,46,54,20,80,54,46,25,75,48,52,40,60,44,56
Libya,60,40,40,60,50,50,58,42,17,83,69,31,35,64,58,42,35,65,59,41
Lithuania,85,13,43,51,58,38,73,26,19,67,79,18,45,49,76,22,32,64,69,28
Luxembourg,86,13,17,82,35,65,71,28,6,94,86,14,23,77,58,42,31,69,69,30
Madagascar,69,30,34,66,33,67,53,47,16,83,59,41,18,82,50,50,32,68,54,45
Malawi,83,17,56,44,50,50,57,43,30,70,60,40,37,62,70,30,32,68,56,44
Malaysia,82,18,11,88,46,53,80,20,4,95,82,18,14,85,82,18,10,90,78,22
Mali,78,22,23,77,58,41,67,33,12,88,70,30,20,80,74,26,29,71,55,45
Malta,78,22,40,60,43,57,64,36,8,91,76,24,23,77,45,55,27,73,37,63
Mauritania,75,25,30,70,37,63,48,52,16,84,69,31,21,79,63,37,31,69,56,43
Mauritius,92,8,33,65,47,52,67,33,5,93,82,17,21,77,75,25,36,63,77,23
